"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max"
29590,"Sonoma",13.654529435629,"Sonoma Coast State Park",2,9,-0.102555703897245,"ns",NA,2,0,0,0.0000000499202919002073,0.0000000654129266308701
29615,"Alameda",1.79840036031631,"Coyote Hills Regional Park",0,15,-0.209863757372676,"cold",NA,0,0,NA,0.00000000893427554160553,0.0000000127704318231281
29617,"Alameda",7.45682906282421,"Garin Regional Park",0,3,-0.149598783143906,"ns",NA,0,0,NA,0.0000000588989976790799,0.000000147971363162469
29629,"Contra Costa",8.71151133463738,"Morgan Territory Regional Preserve",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
29664,"Marin",0.259689628230044,"Vince Mulroy Memorial Woodland Nature Preserve",0,2,-0.330037075964696,"cold",NA,0,0,NA,NA,NA
29687,"Napa",7.60307288949583,"Spanish Valley Park",0,2,-0.199837023585257,"ns",NA,0,0,NA,NA,NA
29694,"Alameda",0.131107058955303,"McLaughlin Eastshore State Park",0,9,-0.138325055055722,"ns",NA,0,0,NA,NA,NA
29753,"Contra Costa",1.81723955261605,"CNWS to Black Diamond",0,0,-0.242654995909454,"cold",NA,0,0,NA,NA,NA
29756,"San Mateo",0.804034260412663,"Gregerson",0,1,0.194551365270094,"ns",NA,0,0,NA,0.00000000567742786117265,0.00000000602804295368742
29761,"Marin",0.131395730587164,"Mill Valley/Sausalito Path",0,5,-0.262332310850271,"cold",NA,0,0,NA,0.0000000382423550604472,0.0000000400379427389908
29767,"San Mateo",0.156505053772002,"Krvavica",0,0,-0.104973580975424,"ns",NA,0,0,NA,0.0000000143193084056747,0.0000000157009125700824
29768,"San Mateo",0.606231011727832,"Sinnott",0,0,0.050276914399702,"ns",NA,0,0,NA,0.0000000222104610259066,0.0000000255475285371176
29771,"Sonoma",0.510369946886204,"Estero Americano Preserve",0,1,-0.209863757372676,"cold",NA,0,0,NA,0.0000000603986975988846,0.0000000636989767599516
29772,"Sonoma",0.107991178779604,"Lower Pitkin Marsh",0,0,-0.174094406214199,"ns",NA,0,0,NA,0.0000000350627260559122,0.0000000429305124782786
29773,"Santa Clara",0.567758756866504,"Tulare Hill Land Bank",0,2,-0.290280610632857,"ns",NA,0,0,NA,0.00000011541709454832,0.000000135791921707096
29774,"Santa Clara",0.646083699028135,"Moody Gulch Land Bank",1,0,0.194551365270094,"ns",NA,0,0,NA,0.0000000896277967399328,0.0000000991651276649463
29779,"Santa Clara",11.8830596955023,"Blue Oak Ranch Reserve",4,16,0.469753914638386,"ns",NA,4,0,0,0.00000000722633242133952,0.0000000125983143917097
29780,"Napa",2.80443452924199,"Crystal Flats",0,2,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
29781,"Napa",0.885793196700959,"Stone Corral Park",0,0,-0.187365701928555,"ns",NA,0,0,NA,NA,NA
29782,"Napa",0.127579960110316,"Trancas Crossing Park",0,5,-0.174094406214199,"ns",NA,0,0,NA,NA,NA
29784,"Sonoma",1.66642177303805,"Live Oaks Ranch",0,0,-0.174094406214199,"ns",NA,0,0,NA,0.000000157005032974666,0.00000016110045919504
29785,"Napa",0.733350684462506,"Live Oaks Ranch",0,0,-0.174094406214199,"ns",NA,0,0,NA,0.000000153572699446158,0.000000158284294116129
29800,"Santa Cruz",0.140732213266142,"Quail Hollow Quarry Conservation Areas",0,1,0.0399077707905076,"ns",NA,0,0,NA,0.0000000255150869321596,0.0000000312091614773635
31035,"Contra Costa",0.236360145423785,"Ridgeview Open Space",0,0,-0.193046081189682,"ns",NA,0,0,NA,NA,NA
31201,"Santa Cruz",0.319143329826505,"Quail Hollow Quarry Conservation Areas",0,0,-0.0384957104961882,"ns",NA,0,0,NA,0.0000000313284473918429,0.0000000408885867386743
31204,"Alameda",0.705416959280423,"Las Trampas Wilderness Regional Preserve",0,0,-0.138325055055722,"ns",NA,0,0,NA,0.0000000573178446927614,0.0000000624367544332927
31205,"Solano",7.60196196476525,"Wilcox Ranch",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
31207,"Santa Clara",0.473211030588516,"Tulare Hill",0,4,-0.145940307800594,"ns",NA,0,0,NA,0.00000012013872208172,0.000000124278827229318
34900,"Contra Costa",0.462963641705766,"Mokelumne Trail",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
34926,"Santa Clara",2.55216735184791,"Bear Creek Redwoods Open Space Preserve",3,7,0.105105800702453,"ns",NA,6,3,0.5,0.000000097622496753047,0.000000109883409038503
34960,"Santa Clara",0.354805493577484,"Heintz Open Space",0,9,0.0268476322772787,"ns",NA,0,0,NA,0.0000000244134685800645,0.000000026685157195061
34961,"Santa Clara",0.235843636086544,"Santa Rosa Open Space",0,7,0.00549490479867423,"ns",NA,0,0,NA,0.0000000277748331001249,0.0000000313491952397271
34999,"Napa",2.53662905790022,"Newell Open Space Preserve",1,3,-0.199837023585257,"cold",NA,1,0,0,0.000000144975984994744,0.000000155170312154951
35002,"Alameda",1.98431101524808,"Doolan Canyon Regional Preserve",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
35003,"Contra Costa",0.167126936905101,"Oak Hill Lane",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
35010,"Contra Costa",1.14911556830985,"Doolan Canyon Regional Preserve",0,1,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
35027,"Contra Costa",0.718851785118118,"Viera-North Peak",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
35030,"Contra Costa",0.868562520602304,"Mangini Ranch",0,3,-0.232109026930301,"ns",NA,0,0,NA,NA,NA
35041,"Santa Clara",0.158656730372336,"El Torro Preserve",0,0,-0.263346328522741,"ns",NA,0,0,NA,0.0000000323531850199288,0.0000000373155017996396
35054,"Sonoma",12.4562984475665,"San Pablo Bay National Wildlife Refuge",0,3,-0.174094406214199,"ns",NA,0,0,NA,0.0000000719729769116384,0.0000000890985205614925
35057,"Santa Clara",0.389139968164352,"Silicon Valley Land Conservancy",0,0,-0.275217460307687,"ns",NA,0,0,NA,0.0000000967129096807184,0.000000102651121380859
35058,"San Mateo",0.354115705328369,"El Corte de Madera Creek Open Space Preserve",0,3,0.0762910518951394,"ns",NA,0,0,NA,0.0000000122817933601027,0.0000000159927395770865
35074,"Contra Costa",3.27467836315366,"Lafayette Reservoir",0,11,-0.221806905662458,"ns",NA,0,0,NA,0.00000000365639185595512,0.00000000365639163391052
35076,"Solano",0.121414067342322,"Alpine Open Space",0,0,-0.280696895853321,"cold",NA,0,0,NA,NA,NA
35092,"San Francisco",0.236626154270902,"Fort Mason",0,10,-0.209863757372676,"cold",NA,0,0,NA,0.0000000196494411852655,0.0000000196494411852655
35095,"San Francisco",0.188993992559161,"Baker Beach",0,13,-0.209863757372676,"cold",NA,0,0,NA,0.0000000217908411315193,0.0000000245651552432946
35097,"San Francisco",0.344598047999825,"Crissy Field",0,11,-0.209863757372676,"cold",NA,0,0,NA,0.0000000236592168079142,0.0000000244485018896512
35102,"Marin",2.56142048277642,"Hamilton Wetlands",0,6,-0.345024299343557,"cold",NA,0,0,NA,NA,NA
35104,"Solano",2.67503130004731,"Meins Landing",0,1,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
35110,"Contra Costa",4.79267706914274,"Dutch Slough",0,6,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
35111,"Solano",2.39797864714128,"Stebbins Cold Canyon Reserve",1,3,-0.226874410218402,"ns",NA,0,0,NA,NA,NA
35113,"Contra Costa",0.154348749783995,"Mount Diablo Gateway",0,3,-0.211107374837038,"ns",NA,0,0,NA,NA,NA
35115,"Marin",0.101137227816361,"San Geronimo Ridge Acq",0,0,-0.119467811549053,"ns",NA,0,0,NA,0.0000000461518077088385,0.0000000461518077088385
35116,"Solano",6.05573184183562,"Patwino Worrtla Kodoi Dihi Open Space Park",0,4,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
35121,"Alameda",0.135247588426749,"Niles Community Park",0,7,-0.242654995909454,"cold",NA,0,0,NA,0.00000000899262708742299,0.0000000103123376504755
35125,"San Mateo",1.45157684283183,"Long Ridge Open Space Preserve",0,0,0.54004279465064,"hot","occ_hot_effort_not_TRUSTED",0,0,NA,0.00000012858741627042,0.000000218310631794338
35146,"Sonoma",2.18612133268258,"Bohemia Ecological Preserve",0,5,-0.102555703897245,"ns",NA,0,0,NA,0.0000000426034105771578,0.0000000462805083145668
35157,"Sonoma",0.456984157874469,"Petaluma Marsh Acquisition, Enhancement and Access",0,3,-0.209863757372676,"cold",NA,0,0,NA,0.0000000131145814208367,0.0000000139604834359375
35364,"Santa Cruz",0.28612970808358,"Unnamed Site - Scotts Valley, City of",0,2,0.140076899679561,"ns",NA,0,0,NA,0.0000000115553815405178,0.0000000174599161795186
35477,"Napa",0.6948965624943,"Unnamed site - California Department of General Services",0,0,-0.262332310850271,"cold",NA,0,0,NA,0.0000000632669596711821,0.0000000634725765280564
35702,"Napa",0.481795564461277,"Unnamed site - California Department of General Services",0,0,-0.262332310850271,"cold",NA,0,0,NA,0.0000000563401556519239,0.0000000634725765280564
35709,"Napa",0.233136296486043,"Unnamed site - California Department of General Services",0,0,-0.174094406214199,"ns",NA,0,0,NA,0.000000108229400552773,0.000000136222311653
35922,"Napa",0.177401285722475,"Unnamed site - Napa, City of",0,0,-0.174094406214199,"ns",NA,0,0,NA,0.0000000503745667401745,0.0000000568689202395944
35999,"Santa Cruz",2.78798693170704,"Sierra Azul Open Space Preserve",1,3,0.112060403053616,"ns",NA,1,0,0,0.0000000331641132333971,0.000000041227039559999
36254,"Marin",0.760572292085668,"Petaluma Marsh",0,0,-0.174094406214199,"ns",NA,0,0,NA,NA,NA
36351,"Contra Costa",0.109003969771536,"City Park",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
36504,"Santa Cruz",0.779240539279265,"City Open Space",1,4,0.0163279692099511,"ns",NA,2,1,0.5,0.00000000608141226265957,0.00000000960868185018171
36505,"Santa Cruz",0.945914598219723,"Unnamed site - Watsonville, City of",0,4,-0.138325055055722,"ns",NA,0,0,NA,0.0000000343942545555365,0.0000000391234777907812
36536,"Santa Clara",1.17057512470697,"Unnamed Site - Morgan Hill, City of",0,3,-0.221314647118306,"cold",NA,0,0,NA,0.0000000369845842840277,0.0000000493706373561054
36628,"Santa Cruz",0.27868578927932,"City Open Space",0,0,0.0675323799757062,"ns",NA,0,0,NA,0.00000000737536298700547,0.00000000737536254291626
36638,"Santa Clara",0.120770795915536,"Morgan Hill Community Park",0,1,-0.243880253410086,"ns",NA,0,0,NA,0.0000000292096853371504,0.0000000306249603454489
36695,"Santa Clara",0.462769474673684,"Stevens Creek County Park",0,7,-0.135069979053104,"ns",NA,1,1,1,0.0000000761456107056802,0.0000000912208690806438
36697,"Santa Clara",0.327307806960599,"Vasona Lake County Park",0,13,-0.232220545851334,"cold",NA,0,0,NA,0.0000000196930134421791,0.0000000239183890471395
36698,"Santa Clara",0.244422899231531,"Los Gatos Creek Park",0,8,-0.209863757372676,"cold",NA,0,0,NA,0.00000001686275119539,0.0000000180560864038171
36699,"Santa Clara",0.184872686872025,"Los Gatos Creek Trail",0,11,-0.209863757372676,"cold",NA,0,0,NA,0.0000000218735252133229,0.0000000310578620599244
37025,"Napa",0.157620886281396,"Stebbins Cold Canyon Reserve",0,0,-0.204845280774581,"ns",NA,0,0,NA,NA,NA
37026,"Santa Clara",10.3940930102439,"Mount Madonna County Park",1,13,-0.0667863527387683,"ns",NA,1,0,0,0.0000000146669600908922,0.0000000257290366789675
38000,"Santa Clara",1.45337956518974,"Sunnyvale Baylands Park",0,10,-0.209863757372676,"cold",NA,0,0,NA,0.00000000777757680481272,0.0000000114043361421068
38013,"Santa Clara",0.171836705899581,"Ulistac Natural Area",0,14,-0.174094406214199,"ns",NA,0,0,NA,0.00000000921425247213392,0.0000000103181383437345
