"unit_id","spans_gradient","elev_mean","elev_sd","slope_mean","slope_sd","aspect_north","aspect_east","lc_frac_tree","lc_frac_shrub","lc_frac_grass","lc_frac_crop","lc_frac_built","lc_frac_bare","lc_frac_wetland","lc_frac_water","ghm_mean","ghm_sd","housing_logden_mean","housing_logden_sd"
520,FALSE,6.2550835609436,2.40871214866638,1.69475901126862,1.72026705741882,-0.240779504179955,0.564991056919098,0.075368883289567,0,0.562316328240043,0.0333983136159681,0.233892713375786,0.0799128252467443,0,0.0151109362318909,0.759394526481628,0.0352433882653713,0,0
542,TRUE,176.090576171875,69.5558395385742,14.6596374511719,7.65907859802246,0.247606739401817,0.0117538003250957,0.189736875828752,0.0105235488960999,0.785488004208695,0.00105203204103069,0.0125961546845764,0.00010066429426748,0,0.000502720046578466,0.328523844480515,0.184562250971794,0.00312500722117316,0.130411228525817
546,FALSE,1.76949453353882,0.462107211351395,1.09682738780975,0.89466667175293,0.0645853132009506,0.262649536132812,0.42012281499347,0.0763031839666724,0.41949940924553,0,0.0596351751171037,0,0.0188789673358002,0.0055604493414233,0.751580536365509,0.217950493097305,0.162790382343189,0.982506021766604
563,FALSE,641.394775390625,89.0689315795898,28.0304489135742,8.34002876281738,0.276733219623566,0.174595803022385,0.996808304802427,0,0.00306304512529242,0,0.000128650072280238,0,0,0,0.122924022376537,0.101878568530083,0.00148030862742713,0.0596634991695539
581,FALSE,593.919555664062,97.1050643920898,22.4837608337402,8.89440822601318,-0.222138211131096,-0.135052010416985,0.848927565089486,0.00137304947322022,0.144097479908544,0,0.00415171844467422,0,0,0.00145018708407529,0.122724674642086,0.0898349583148956,0.214348866182284,0.523856309393277
586,FALSE,11.0441789627075,2.71696400642395,1.86006653308868,2.17609667778015,0.0121490536257625,0.27209347486496,0.103053721928875,0,0.259716190187506,0.000917063927110998,0.0615363534037078,0.00810459647258133,0.00137255262842103,0.565299521451797,0.873322367668152,0.148878052830696,0.0118574378378236,0.227842185056388
602,FALSE,1.04139971733093,0.693542420864105,1.20566320419312,1.24120998382568,0.0481652282178402,0.424109101295471,0.0873695536529214,0,0.535917180066286,0.000327809544899764,0.0347097715405542,0.000647344413534594,0.153965353061913,0.187062987719892,0.977667212486267,0.00730748474597931,0.00239710423146241,0.127785883200777
604,FALSE,30.7081165313721,13.5152397155762,0.758235037326813,1.74627757072449,-0.053035132586956,0.10886437445879,0.671016738717999,0,0.214861134727687,0.0306374499135408,0.0821593231456681,0.000695625378902132,0.000429115768627042,0.000200612347575917,0.748859584331512,0.231051996350288,1.91384212403046,2.55076933169431
606,FALSE,1.56608402729034,0.508495688438416,0.747264385223389,0.88948130607605,0.0945890620350838,0.473138898611069,0.0568042524055839,0,0.568692836321916,0.00471257481676132,0.125438654830358,0.230491441360141,0.00824030247963342,0.00561993778560731,0.940921306610107,0.0346483513712883,0.000502042310010078,0.0613565367914732
628,FALSE,118.163139343262,37.5542869567871,15.4969110488892,5.65262794494629,-0.274647682905197,0.204656049609184,0.0928339722965894,0,0.900658211035892,0.00422263670649262,0.00228517996102637,0,0,0,0.463980078697205,0.241366147994995,0.0238443913453212,0.180768881371407
650,FALSE,96.0557098388672,35.9096565246582,12.3335647583008,6.54317903518677,-0.171546623110771,-0.0428196266293526,0.961707385638644,0,0.0328988156633875,0,0.00539379869796858,0,0,0,0.484271049499512,0.238258242607117,0.943067505870709,1.5773397053703
669,FALSE,21.7539653778076,15.050745010376,20.4878902435303,15.392107963562,-0.432100027799606,-0.598111271858215,0.0615800045754127,0.000130392021093577,0.432552616440244,0,0.0323946624733221,0.464796285143971,0,0.00854603934595721,0.674978077411652,0.129487916827202,0,0
678,FALSE,10.9714298248291,5.56867122650146,4.48706150054932,4.60876560211182,0.133465573191643,-0.0825523063540459,0.532212278023498,0,0.0811718584998978,0,0.339687700694722,0.0384661227898513,0,0.00846203999203141,0.921431541442871,0.0802787467837334,0.0000295108206487136,0.0150699109662716
